theatre_name,city,state,lat,lon,confidence,query_used
Belconnen 10,Canberra,New South Wales (inc ACT),-35.2281571,149.0556775,7.258182650487553e-05,"Belconnen 10, Australia"
Woden 8,Canberra,New South Wales (inc ACT),-35.3498582,149.0940482,0.3739950970515461,"Woden 8, Australia"
Erina 8,Central Coast,New South Wales (inc ACT),-33.434669,151.3823403,5.590371557178634e-05,"Erina 8, Australia"
Tuggerah 9,Central Coast,New South Wales (inc ACT),-33.3038927,151.4205193,0.3453315576369598,"Tuggerah 9, Australia"
Dubbo 5,Central and Far West,New South Wales (inc ACT),-37.8671029,145.1625527,8.045242999919154e-05,"Dubbo 5, Australia"
Broadway 12,City and Inner South,New South Wales (inc ACT),-33.9266029,151.0593687,8.246051728079679e-05,"Broadway 12, Australia"
George Street 16,City and Inner South,New South Wales (inc ACT),-33.8630923,151.0874882,8.246051728079679e-05,"George Street 16, Australia"
Sydney IMAX,City and Inner South,New South Wales (inc ACT),-33.8737743,151.2011431,8.246051728079679e-05,"Sydney IMAX, Australia"
Coffs Harbour 5,Coffs Harbour - Grafton,New South Wales (inc ACT),-30.2847876,153.089739,5.6413366903136e-05,"Coffs Harbour 5, Australia"
Bondi Junction 11,Eastern Suburbs,New South Wales (inc ACT),-33.8930034,151.2501228,0.3726646801410257,"Bondi Junction 11, Australia"
Eastgardens 8,Eastern Suburbs,New South Wales (inc ACT),-33.9447657,151.2250921,0.3028919399483277,"Eastgardens 8, Australia"
Entertainment Quarter 12,Eastern Suburbs,New South Wales (inc ACT),-33.8949874,151.2262965,0.0800824605172808,"Entertainment Quarter 12, Australia"
Castle Hill 15,Hills & Hawkesbury,New South Wales (inc ACT),-33.744035,151.046853,8.246051728079679e-05,"Castle Hill 15, Australia"
Rouse Hill 9,Hills & Hawkesbury,New South Wales (inc ACT),-33.6774941,150.9160933,0.3236308018105289,"Rouse Hill 9, Australia"
Shellharbour 8,Illawarra,New South Wales (inc ACT),-34.5788697,150.8672489,0.3659118990398539,"Shellharbour 8, Australia"
