theatre_name,city,state,lat,lon,sa4_code,sa4_name,nearest_competitor_km
Belconnen 10,Canberra,New South Wales (inc ACT),-35.2281571,149.0556775,801,Australian Capital Territory,8.67828780710663
Woden 8,Canberra,New South Wales (inc ACT),-35.3498582,149.0940482,801,Australian Capital Territory,8.489450678093903
Erina 8,Central Coast,New South Wales (inc ACT),-33.434669,151.3823403,102,Central Coast,14.967654049004798
Tuggerah 9,Central Coast,New South Wales (inc ACT),-33.3038927,151.4205193,102,Central Coast,10.573089175424787
Dubbo 5,Central and Far West,New South Wales (inc ACT),-37.8671029,145.1625527,212,Melbourne - South East,1.580693701307708
Broadway 12,City and Inner South,New South Wales (inc ACT),-33.9266029,151.0593687,119,Sydney - Inner South West,2.2909831671238923
George Street 16,City and Inner South,New South Wales (inc ACT),-33.8630923,151.0874882,120,Sydney - Inner West,1.2006053735434623
Sydney IMAX,City and Inner South,New South Wales (inc ACT),-33.8737743,151.2011431,117,Sydney - City and Inner South,3.2227572264579654
Coffs Harbour 5,Coffs Harbour - Grafton,New South Wales (inc ACT),-30.2847876,153.089739,104,Coffs Harbour - Grafton,128.4487067957542
Bondi Junction 11,Eastern Suburbs,New South Wales (inc ACT),-33.8930034,151.2501228,118,Sydney - Eastern Suburbs,2.2101999857411956
Eastgardens 8,Eastern Suburbs,New South Wales (inc ACT),-33.9447657,151.2250921,117,Sydney - City and Inner South,3.209006633774881
Entertainment Quarter 12,Eastern Suburbs,New South Wales (inc ACT),-33.8949874,151.2262965,118,Sydney - Eastern Suburbs,0.08924147281177224
Castle Hill 15,Hills & Hawkesbury,New South Wales (inc ACT),-33.744035,151.046853,115,Sydney - Baulkham Hills and Hawkesbury,3.6198799617028214
Rouse Hill 9,Hills & Hawkesbury,New South Wales (inc ACT),-33.6774941,150.9160933,115,Sydney - Baulkham Hills and Hawkesbury,6.716870265509226
Shellharbour 8,Illawarra,New South Wales (inc ACT),-34.5788697,150.8672489,107,Illawarra,56.168847125041005
Warrawong 6,Illawarra,New South Wales (inc ACT),-38.0173373,145.3239514,212,Melbourne - South East,2.1440030769058076
Burwood 12,Inner West,New South Wales (inc ACT),-37.8532007,145.1105801,207,Melbourne - Inner East,3.7495288078352185
Newtown 10,Inner West,New South Wales (inc ACT),-38.1399862,144.3188173,203,Geelong,0.9519227611538981
Rhodes 8,Inner West,New South Wales (inc ACT),-33.8127147,151.0913455,126,Sydney - Ryde,1.4063920893342943
Charlestown 6,Newcastle and Lake Macquarie,New South Wales (inc ACT),-26.3683625,151.9188662,319,Wide Bay,104.06748351507024
Glendale 8,Newcastle and Lake Macquarie,New South Wales (inc ACT),-34.0177583,151.0695489,128,Sydney - Sutherland,6.543169204073991
Hornsby 9,North Sydney - Hornsby,New South Wales (inc ACT),-33.6692648,151.0443931,115,Sydney - Baulkham Hills and Hawkesbury,7.283551915628122
Auburn 10,Parramatta & Ryde,New South Wales (inc ACT),-33.8678253,151.0288254,125,Sydney - Parramatta,2.9614980691194943
Macquarie 16,Parramatta & Ryde,New South Wales (inc ACT),-31.4321258,152.9182557,108,Mid North Coast,0.9706955307473148
Parramatta 11,Parramatta & Ryde,New South Wales (inc ACT),-33.8493794,151.0519603,125,Sydney - Parramatta,2.030226783241931
Byron Bay 9,Richmond - Tweed,New South Wales (inc ACT),-28.6483333,153.6177778,112,Richmond - Tweed,53.397259475340974
Bankstown 8,South West Sydney,New South Wales (inc ACT),-33.9197875,151.0359369,119,Sydney - Inner South West,2.2909831671238923
Campbelltown 11,South West Sydney,New South Wales (inc ACT),-34.0766905,150.8011419,123,Sydney - Outer South West,1.5067532824725651
Liverpool 8,South West Sydney,New South Wales (inc ACT),-37.7813257,144.9787605,206,Melbourne - Inner,1.1280176808993672
Wetherill Park 12,South West Sydney,New South Wales (inc ACT),-33.8483333,150.9011111,127,Sydney - South West,8.270054789509272
Hurstville 7,Sutherland & St George,New South Wales (inc ACT),-33.9650953,151.1012128,119,Sydney - Inner South West,5.7635291725706965
Blacktown 10,West and Blue Mountains,New South Wales (inc ACT),-33.7739882,150.9036186,116,Sydney - Blacktown,5.095094339100172
Mt. Druitt 8,West and Blue Mountains,New South Wales (inc ACT),-33.7705556,150.8205556,116,Sydney - Blacktown,7.6871034983736815
Penrith 10,West and Blue Mountains,New South Wales (inc ACT),-37.6912266,145.0476164,209,Melbourne - North East,4.28481636256469
Casuarina 7,Darwin,Northern Territory,-12.3750635,130.8527952,701,Darwin,18.447609491527416
Palmerston 6,Darwin,Northern Territory,-12.4799608,130.9844108,701,Darwin,2.6453384244447746
Alice Springs 4,N.T Outback,Northern Territory,-23.6983884,133.8812885,702,Northern Territory - Outback,1040.741613153111
Katherine Cinema 3,N.T Outback,Northern Territory,-14.4641472,132.2634002,702,Northern Territory - Outback,259.4704547817012
Capalaba 8,Brisbane - East,Queensland,-27.522037,153.1918063,301,Brisbane - East,8.900676300769259
North Lakes 8,Brisbane - East,Queensland,-27.2381221,153.017699,314,Moreton Bay - South,8.429864552644473
Strathpine 8,Brisbane - East,Queensland,-27.3099861,152.9905347,314,Moreton Bay - South,8.429864552644473
Barracks 6,Brisbane - Inner City,Queensland,-27.4646688,153.0903088,303,Brisbane - South,4.360208262655911
Brisbane City 8,Brisbane - Inner City,Queensland,-27.4689623,153.0235009,305,Brisbane Inner City,4.0942944774364465
Portside 5,Brisbane - Inner City,Queensland,-27.4433003,153.0532578,305,Brisbane Inner City,4.0942944774364465
Chermside 16,Brisbane - North,Queensland,-27.3859361,153.0368799,302,Brisbane - North,3.208146164413592
Redcliffe 8,Brisbane - North,Queensland,-27.2268785,153.1129973,313,Moreton Bay - North,9.5047165166195
Stafford 10,Brisbane - North,Queensland,-27.4103054,153.0194836,302,Brisbane - North,3.208146164413592
Carindale 7,Brisbane - South,Queensland,-27.5032764,153.1040678,303,Brisbane - South,4.326035912084878
Coorparoo 10,Brisbane - South,Queensland,-27.496182,153.0609426,303,Brisbane - South,4.326035912084878
Garden City Mt. Gravatt 16,Brisbane - South,Queensland,-27.5668218,153.0865958,303,Brisbane - South,2.842569374448379
Loganholme 12,Brisbane - South,Queensland,-27.683054,153.1894379,311,Logan - Beaudesert,16.4224486107661
Sunnybank 8,Brisbane - South,Queensland,-27.5741448,153.0589657,303,Brisbane - South,2.842569374448379
Indooroopilly 16,Brisbane - West,Queensland,-27.5065612,152.9822777,304,Brisbane - West,5.832184370133865
Cairns Central 6,Cairns Region,Queensland,-23.642589,149.3300934,308,Central Queensland,124.18667884115855
Cairns Smithfield 6,Cairns Region,Queensland,-16.852024,145.6956203,306,Cairns,11.289438109620303
Rockhampton 6,Central Queensland,Queensland,-23.3782137,150.5134227,308,Central Queensland,124.18667884115855
Coomera 5,Gold Coast,Queensland,-27.8683965,153.3192117,309,Gold Coast,24.243510563128194
Springfield 8,Ipswich Region,Queensland,-27.6320423,153.0316423,303,Brisbane - South,6.978241879885956
Mount Pleasant 6,Mackay - Isaac - Whitsunday,Queensland,-27.1648516,152.7834819,314,Moreton Bay - South,24.55452237019113
